datetime;OBSERVED;U_mu
2006-12-13;0;90,125
2006-12-14;0;92,25
2006-12-15;0;79,25
2006-12-16;1;84,375
2006-12-17;1;86,0
2006-12-18;1;79,625
2006-12-19;0;89,875
2006-12-20;0;94,85714285714286
2006-12-21;0;93,33333333333333
2006-12-22;1;83,0
2006-12-23;1;70,75
2006-12-24;1;73,375
2006-12-25;1;77,125
2006-12-26;1;88,625
2006-12-27;1;77,875
2006-12-28;1;73,5
2006-12-29;1;84,875
2006-12-30;1;89,625
2006-12-31;0;94,75
2007-01-01;0;94,25
2007-01-02;0;94,625
2007-01-03;1;82,625
2007-01-04;0;90,875
2007-01-05;0;93,25
2007-01-06;1;90,375
2007-01-07;0;93,75
2007-01-08;0;95,5
2007-01-09;0;90,875
2007-01-10;0;72,5
2007-01-11;0;93,875
2007-01-12;1;88,5
2007-01-13;0;94,0
2007-01-14;0;91,625
2007-01-15;0;89,625
2007-01-16;1;84,875
2007-01-17;1;72,0
2007-01-18;0;89,875
2007-01-19;1;84,125
2007-01-20;1;77,0
2007-01-21;0;84,375
2007-01-22;1;80,5
2007-01-23;1;88,0
2007-01-24;0;86,375
2007-01-25;1;86,75
2007-01-26;0;89,75
2007-01-27;0;89,875
2007-01-28;1;80,375
2007-01-29;1;84,375
2007-01-30;1;85,625
2007-01-31;0;89,125
2007-02-01;1;86,875
2007-02-02;0;95,5
2007-02-03;0;89,5
2007-02-04;1;89,75
2007-02-05;1;89,125
2007-02-06;1;72,75
2007-02-07;1;67,25
2007-02-08;0;83,0
2007-02-09;0;78,875
2007-02-10;1;81,625
2007-02-11;1;85,375
2007-02-12;1;81,0
2007-02-13;1;84,0
2007-02-14;1;88,125
2007-02-15;1;85,75
2007-02-16;1;86,5
2007-02-17;1;83,875
2007-02-18;1;79,75
2007-02-19;1;70,125
2007-02-20;1;72,0
2007-02-22;1;69,0
2007-02-23;1;79,0
2007-02-24;1;72,625
2007-02-25;1;70,875
2007-02-26;1;73,125
2007-02-27;0;91,0
2007-02-28;0;92,5
2007-03-01;0;94,5
2007-03-02;0;99,0
2007-03-04;1;91,125
2007-03-05;1;80,875
2007-03-06;0;93,0
2007-03-07;0;92,5
2007-03-08;0;91,875
2007-03-09;0;96,5
2007-03-10;1;95,5
2007-03-11;0;82,25
2007-03-12;1;96,75
2007-03-13;1;88,25
2007-03-14;1;79,5
2007-03-15;1;80,125
2007-03-16;1;82,25
2007-03-17;0;94,625
2007-03-18;0;91,25
2007-03-19;0;86,375
2007-03-20;1;81,5
2007-03-21;0;83,0
2007-03-22;0;93,5
2007-03-23;1;93,375
2007-03-24;1;77,375
2007-03-25;1;58,142857142857146
2007-03-26;1;64,875
2007-03-27;1;73,125
2007-03-28;1;77,125
2007-03-29;1;76,75
2007-03-30;1;70,125
2007-03-31;1;51,625
2007-04-01;1;60,625
2007-04-02;1;59,875
2007-04-03;1;56,75
2007-04-04;1;51,75
2007-04-05;1;57,5
2007-04-06;1;55,875
2007-04-07;1;51,125
2007-04-08;1;48,5
2007-04-09;1;56,125
2007-04-10;1;58,375
2007-04-11;1;64,0
2007-04-12;1;49,125
2007-04-13;1;56,0
2007-04-14;1;51,5
2007-04-15;1;66,125
2007-04-16;1;76,28571428571429
2007-04-17;1;78,875
2007-04-18;0;65,5
2007-04-19;0;77,375
2007-04-20;0;87,375
2007-04-21;0;92,625
2007-04-22;1;61,75
2007-04-23;0;79,75
2007-04-24;0;90,5
2007-04-25;0;87,875
2007-04-26;1;83,625
2007-04-27;1;58,75
2007-04-28;1;47,5
2007-04-29;1;53,5
2007-04-30;0;43,42857142857143
2007-05-01;1;49,142857142857146
2007-05-02;0;74,25
2007-05-03;0;81,125
2007-05-04;0;87,0
2007-05-05;1;74,75
2007-05-06;1;59,625
2007-05-07;1;65,75
2007-05-08;1;91,75
2007-05-09;1;85,25
2007-05-10;1;51,25
2007-05-12;1;67,25
2007-05-13;1;66,375
2007-05-14;1;81,875
2007-05-15;0;88,125
2007-05-16;1;79,875
2007-05-17;1;65,375
2007-05-18;1;50,75
2007-05-19;1;67,625
2007-05-20;1;71,75
2007-05-21;1;71,75
2007-05-22;0;80,25
2007-05-23;1;82,5
2007-05-24;1;80,875
2007-05-25;1;86,25
2007-05-26;0;92,375
2007-05-27;1;88,125
2007-05-28;0;86,625
2007-05-29;1;77,5
2007-05-30;0;91,875
2007-05-31;0;94,0
2007-06-01;1;58,125
2007-06-02;1;55,125
2007-06-03;1;51,125
2007-06-04;1;47,625
2007-06-05;1;59,25
2007-06-06;1;54,125
2007-06-07;1;46,25
2007-06-08;1;52,125
2007-06-09;1;49,75
2007-06-10;1;52,875
2007-06-11;1;61,375
2007-06-12;1;72,875
2007-06-13;1;68,25
2007-06-14;0;77,0
2007-06-15;0;67,125
2007-06-16;1;58,125
2007-06-17;0;71,875
2007-06-18;0;90,375
2007-06-19;0;68,625
2007-06-20;1;56,0
2007-06-21;0;74,75
2007-06-22;1;61,125
2007-06-23;1;62,375
2007-06-24;1;59,625
2007-06-25;1;61,25
2007-06-26;0;75,85714285714286
2007-06-27;0;91,875
2007-06-28;0;87,875
2007-06-29;0;91,0
2007-06-30;1;81,5
2007-07-01;1;71,625
2007-07-03;1;72,5
2007-07-04;1;69,0
2007-07-05;1;62,375
2007-07-06;1;79,25
2007-07-07;0;84,25
2007-07-08;0;81,625
2007-07-09;0;89,125
2007-07-10;1;82,875
2007-07-11;0;93,125
2007-07-12;1;79,25
2007-07-13;1;76,5
2007-07-14;1;76,375
2007-07-15;0;85,125
2007-07-16;1;72,0
2007-07-17;1;68,625
2007-07-18;0;76,875
2007-07-19;1;71,25
2007-07-20;0;74,25
2007-07-21;0;76,0
2007-07-22;1;64,25
2007-07-23;0;81,5
2007-07-24;0;88,75
2007-07-25;1;82,625
2007-07-26;1;72,875
2007-07-27;1;82,375
2007-07-28;0;82,28571428571429
2007-07-29;0;85,25
2007-07-30;0;86,125
2007-07-31;0;92,625
2007-08-01;0;81,75
2007-08-02;1;84,375
2007-08-03;1;82,625
2007-08-04;1;71,0
2007-08-05;1;74,0
2007-08-06;1;75,5
2007-08-07;1;71,625
2007-08-08;1;70,125
2007-08-09;1;71,375
2007-08-10;1;69,25
2007-08-11;1;70,125
2007-08-12;1;76,5
2007-08-13;1;69,0
2007-08-14;0;87,125
2007-08-15;0;77,75
2007-08-16;0;82,0
2007-08-17;0;79,125
2007-08-18;0;72,875
2007-08-19;1;76,375
2007-08-20;1;79,75
2007-08-21;1;76,875
2007-08-22;0;92,875
2007-08-23;1;91,25
2007-08-24;0;90,25
2007-08-25;1;89,625
2007-08-26;0;83,375
2007-08-27;1;79,125
2007-08-28;1;81,25
2007-08-29;0;81,0
2007-08-31;0;81,25
2007-09-01;0;78,625
2007-09-02;0;86,75
2007-09-03;0;83,25
2007-09-04;0;87,375
2007-09-05;1;77,375
2007-09-06;1;82,75
2007-09-07;1;69,0
2007-09-08;1;75,0
2007-09-09;1;75,875
2007-09-10;1;75,25
2007-09-11;1;73,375
2007-09-12;0;81,75
2007-09-13;1;77,75
2007-09-14;1;78,875
2007-09-15;0;83,875
2007-09-16;1;76,125
2007-09-17;0;88,375
2007-09-18;0;95,5
2007-09-19;0;86,0
2007-09-20;0;87,375
2007-09-21;0;92,5
2007-09-22;0;92,0
2007-09-23;1;90,5
2007-09-25;1;81,5
2007-09-26;1;85,0
2007-09-27;0;93,125
2007-09-28;0;88,625
2007-09-29;1;89,25
2007-09-30;1;92,125
2007-10-01;0;92,875
2007-10-02;1;91,75
2007-10-03;1;93,75
2007-10-04;0;94,5
2007-10-05;1;91,0
2007-10-06;0;87,0
2007-10-07;1;91,125
2007-10-08;0;93,75
2007-10-09;1;84,5
2007-10-10;0;78,875
2007-10-11;1;74,625
2007-10-12;0;88,0
2007-10-13;1;71,5
2007-10-14;0;89,75
2007-10-15;0;94,875
2007-10-16;1;89,875
2007-10-17;1;85,375
2007-10-18;1;85,0
2007-10-19;0;80,75
2007-10-20;1;73,375
2007-10-21;1;79,25
2007-10-22;1;86,25
2007-10-23;1;93,625
2007-10-24;1;88,5
2007-10-26;1;81,0
2007-10-27;1;91,25
2007-10-28;1;92,625
2007-10-29;1;86,875
2007-10-30;1;88,75
2007-10-31;0;85,625
2007-11-01;0;80,75
2007-11-02;1;67,0
2007-11-03;0;89,0
2007-11-04;1;80,875
2007-11-05;1;85,875
2007-11-06;1;82,75
2007-11-07;0;90,5
2007-11-08;0;83,25
2007-11-09;0;89,375
2007-11-10;0;86,625
2007-11-11;1;73,375
2007-11-12;0;91,5
2007-11-13;0;84,625
2007-11-14;1;80,0
2007-11-15;1;82,0
2007-11-16;1;86,0
2007-11-17;1;80,875
2007-11-18;0;96,625
2007-11-19;1;90,125
2007-11-20;1;88,75
2007-11-21;1;84,5
2007-11-22;0;93,875
2007-11-23;0;95,75
2007-11-24;0;91,875
2007-11-25;0;86,5
2007-11-26;0;92,25
2007-11-27;0;87,125
2007-11-28;1;78,375
2007-11-29;1;85,125
2007-11-30;1;86,75
2007-12-01;1;80,375
2007-12-02;0;95,375
2007-12-03;0;93,0
2007-12-04;0;98,0
2007-12-05;0;90,375
2007-12-06;0;96,0
2007-12-07;0;91,5
2007-12-08;0;90,75
2007-12-09;0;89,5
2007-12-10;1;89,625
2007-12-11;0;92,75
2007-12-12;1;84,25
2007-12-13;1;86,125
2007-12-14;1;91,375
2007-12-15;1;91,5
2007-12-16;1;95,5
2007-12-17;1;95,75
2007-12-18;1;95,14285714285714
2007-12-19;1;89,625
2007-12-20;1;82,125
2007-12-21;1;85,0
2007-12-22;1;92,0
2007-12-23;1;88,375
2007-12-24;1;84,75
2007-12-25;1;89,375
2007-12-26;0;90,875
2007-12-28;0;91,0
2007-12-29;0;93,0
2007-12-30;0;86,375
2007-12-31;0;94,25
2008-01-01;0;81,25
2008-01-02;1;74,875
2008-01-03;1;77,25
2008-01-04;1;57,875
2008-01-05;1;54,5
2008-01-06;0;66,0
2008-01-07;0;88,75
2008-01-08;0;88,875
2008-01-09;0;91,5
2008-01-10;0;90,85714285714286
2008-01-11;0;93,125
2008-01-12;0;94,0
2008-01-13;0;87,0
2008-01-14;0;90,875
2008-01-16;0;86,875
2008-01-17;0;90,0
2008-01-21;0;92,875
2008-01-22;0;87,5
2008-01-23;1;83,25
2008-01-24;0;87,0
2008-01-25;0;86,75
2008-01-26;1;83,375
2008-01-27;1;82,875
2008-01-28;1;83,625
2008-01-29;1;95,75
2008-01-30;0;93,25
2008-01-31;0;85,375
2008-02-01;0;84,25
2008-02-02;0;86,125
2008-02-03;1;67,375
2008-02-04;0;95,0
2008-02-05;1;90,5
2008-02-06;0;91,75
2008-02-07;0;97,0
2008-02-08;1;92,75
2008-02-09;1;94,75
2008-02-10;0;96,875
2008-02-11;0;97,125
2008-02-12;1;93,5
2008-02-13;0;76,14285714285714
2008-02-14;1;59,75
2008-02-15;1;54,5
2008-02-16;1;68,375
2008-02-17;1;81,125
2008-02-18;1;88,125
2008-02-19;0;69,25
2008-02-20;0;93,75
2008-02-21;1;94,875
2008-02-22;0;82,125
2008-02-23;1;77,875
2008-02-24;0;89,85714285714286
2008-02-25;0;79,625
2008-02-26;1;79,75
2008-02-27;0;96,75
2008-02-28;0;85,25
2008-02-29;0;93,25
2008-03-01;0;87,71428571428571
2008-03-02;0;89,5
2008-03-03;0;85,5
2008-03-04;0;84,625
2008-03-05;1;69,75
2008-03-06;0;89,375
2008-03-07;1;76,25
2008-03-08;0;88,75
2008-03-09;1;93,125
2008-03-10;1;85,25
2008-03-11;1;80,625
2008-03-12;1;89,5
2008-03-13;0;96,28571428571429
2008-03-14;1;94,125
2008-03-15;0;90,625
2008-03-16;0;88,375
2008-03-17;1;83,0
2008-03-18;0;78,25
2008-03-19;1;74,5
2008-03-20;1;63,875
2008-03-21;1;62,875
2008-03-22;1;64,625
2008-03-23;0;82,0
2008-03-24;0;73,375
2008-03-25;1;60,25
2008-03-26;0;92,25
2008-03-27;0;74,25
2008-03-28;1;74,0
2008-03-29;1;63,75
2008-03-30;0;84,0
2008-03-31;1;80,5
2008-04-01;1;64,25
2008-04-02;1;66,625
2008-04-03;1;51,125
2008-04-04;1;69,625
2008-04-05;0;97,0
2008-04-06;1;86,25
2008-04-07;0;93,75
2008-04-08;0;97,375
2008-04-09;0;90,75
2008-04-10;0;84,0
2008-04-11;1;84,625
2008-04-12;1;78,375
2008-04-13;0;91,5
2008-04-14;0;79,875
2008-04-15;1;81,25
2008-04-16;1;80,125
2008-04-17;1;73,0
2008-04-21;1;59,25
2008-04-22;1;44,25
2008-04-23;1;55,0
2008-04-24;1;56,75
2008-04-25;1;60,25
2008-04-26;1;69,0
2008-04-27;1;71,75
2008-04-28;1;81,375
2008-04-29;1;73,625
2008-05-01;1;62,285714285714285
2008-05-02;1;51,875
2008-05-03;1;60,875
2008-05-04;1;66,875
2008-05-08;1;70,125
2008-05-09;1;72,5
2008-05-12;0;59,5
2008-05-13;1;40,75
2008-05-14;1;52,25
2008-05-15;1;67,875
2008-05-16;1;73,5
2008-05-17;0;66,375
2008-05-18;0;88,5
2008-05-19;1;68,5
2008-05-20;1;54,25
2008-05-21;1;51,285714285714285
2008-05-22;1;56,5
2008-05-23;1;50,125
2008-05-24;1;46,875
2008-05-25;1;44,375
2008-05-26;1;52,375
2008-05-27;1;46,625
2008-05-28;1;52,5
2008-05-29;1;52,125
2008-05-30;1;44,25
2008-06-01;1;66,125
2008-06-02;1;56,375
2008-06-03;1;52,25
2008-06-04;1;57,375
2008-06-05;1;60,875
2008-06-06;1;44,75
2008-06-07;1;65,0
2008-06-08;1;64,125
2008-06-09;1;63,375
2008-06-10;0;83,875
2008-06-11;0;74,125
2008-06-12;0;76,875
2008-06-13;1;67,625
2008-06-14;0;73,125
2008-06-15;0;79,5
2008-06-16;1;77,25
2008-06-17;0;84,25
2008-06-18;0;86,5
2008-06-19;1;68,25
2008-06-20;0;82,375
2008-06-21;0;82,625
2008-06-22;1;77,875
2008-06-23;0;91,625
2008-06-24;0;87,57142857142857
2008-06-25;1;58,5
2008-06-26;0;76,0
2008-06-27;1;82,625
2008-06-28;1;79,14285714285714
2008-06-29;0;84,75
2008-06-30;1;84,0
2008-07-01;0;79,75
2008-07-02;1;70,75
2008-07-03;0;78,0
2008-07-04;1;60,75
2008-07-05;1;58,857142857142854
2008-07-06;1;62,25
2008-07-07;1;69,125
2008-07-08;1;64,71428571428571
2008-07-09;1;67,875
2008-07-10;1;75,5
2008-07-11;1;72,25
2008-07-12;0;78,25
2008-07-13;1;77,375
2008-07-14;0;81,25
2008-07-15;0;83,0
2008-07-16;1;82,875
2008-07-17;0;79,25
2008-07-18;0;77,875
2008-07-19;1;72,625
2008-07-21;1;67,42857142857143
2008-07-22;1;80,25
2008-07-23;1;71,25
2008-07-24;1;56,5
2008-07-26;1;59,125
2008-07-27;1;51,25
2008-07-28;1;55,625
2008-07-29;1;53,875
2008-07-31;1;56,5
2008-08-01;0;77,75
2008-08-02;1;75,0
2008-08-03;0;83,125
2008-08-05;0;58,333333333333336
2008-08-06;1;62,75
2008-08-08;0;87,0
2008-08-09;1;79,125
2008-08-10;1;79,375
2008-08-11;0;83,125
2008-08-12;1;81,5
2008-08-13;0;93,28571428571429
2008-08-14;1;80,75
2008-08-15;0;75,375
2008-08-16;0;93,875
2008-08-17;1;92,75
2008-08-18;0;86,0
2008-08-19;0;84,125
2008-08-20;0;90,125
2008-08-21;1;86,625
2008-08-22;1;69,5
2008-08-23;1;69,75
2008-08-24;0;86,875
2008-08-25;0;77,125
2008-08-26;1;73,875
2008-08-27;0;84,75
2008-08-28;0;91,375
2008-08-29;1;76,25
2008-08-30;1;74,5
2008-08-31;0;68,125
2008-09-01;1;72,625
2008-09-02;0;93,5
2008-09-03;0;91,5
2008-09-04;0;83,25
2008-09-05;1;83,125
2008-09-06;0;84,75
2008-09-07;0;89,75
2008-09-08;0;77,75
2008-09-09;0;90,66666666666667
2008-09-10;0;82,75
2008-09-11;1;70,375
2008-09-12;1;70,75
2008-09-13;1;67,75
2008-09-14;1;73,875
2008-09-15;1;72,125
2008-09-16;1;73,125
2008-09-17;0;88,125
2008-09-18;0;89,625
2008-09-19;1;78,875
2008-09-20;0;88,0
2008-09-21;1;79,5
2008-09-22;1;86,0
2008-09-30;1;79,25
2008-10-01;1;81,875
2008-10-02;0;89,75
2008-10-03;0;82,75
2008-10-04;0;83,125
2008-10-05;1;78,5
2008-10-06;0;75,25
2008-10-07;1;78,75
2008-10-08;1;82,0
2008-10-09;1;86,875
2008-10-14;0;88,0
2008-10-15;1;82,75
2008-10-16;0;93,375
2008-10-17;1;78,5
2008-10-18;1;75,125
2008-10-19;0;87,625
2008-10-20;1;82,25
2008-10-21;1;84,625
2008-10-22;0;76,625
2008-10-23;0;75,375
2008-10-24;1;83,25
2008-10-25;0;85,375
2008-10-26;0;86,44444444444444
2008-10-27;0;90,5
2008-10-28;0;81,375
2008-10-29;1;83,125
2008-10-30;0;92,75
2008-10-31;0;88,14285714285714
2008-11-01;0;86,5
2008-11-02;1;81,0
2008-11-03;1;88,125
2008-11-04;1;86,875
2008-11-05;1;80,5
2008-11-06;1;81,0
2008-11-07;1;73,0
2008-11-08;1;85,625
2008-11-09;0;91,375
2008-11-10;0;82,125
2008-11-11;0;88,375
2008-11-12;0;84,125
2008-11-13;0;86,25
2008-11-14;0;86,0
2008-11-15;0;89,0
2008-11-16;0;86,375
2008-11-17;1;75,375
2008-11-18;1;76,28571428571429
2008-11-19;0;79,875
2008-11-20;0;85,125
2008-11-21;1;87,75
2008-11-22;1;87,625
2008-11-23;0;88,375
2008-11-24;0;97,5
2008-11-25;0;90,75
2008-11-26;0;91,25
2008-11-27;0;86,625
2008-11-28;0;83,0
2008-11-29;0;87,5
2008-11-30;0;85,375
2008-12-01;0;91,875
2008-12-02;0;89,375
2008-12-03;0;82,75
2008-12-04;0;89,375
2008-12-05;0;89,25
2008-12-06;1;83,375
2008-12-07;1;84,5
2008-12-08;1;86,875
2008-12-09;0;90,375
2008-12-10;0;94,5
2008-12-11;0;89,28571428571429
2008-12-12;0;84,375
2008-12-13;1;85,25
2008-12-14;1;85,625
2008-12-15;1;88,375
2008-12-16;1;88,125
2008-12-17;0;87,125
2008-12-18;0;90,75
2008-12-19;1;88,875
2008-12-20;0;92,5
2008-12-21;0;88,75
2008-12-22;0;85,625
2008-12-23;1;80,0
2008-12-24;1;74,625
2008-12-25;1;73,75
2008-12-26;1;84,0
2008-12-27;1;88,5
2008-12-28;1;87,875
2008-12-29;1;89,75
2008-12-30;1;88,625
2008-12-31;1;84,5
2009-01-01;1;64,875
2009-01-02;1;85,875
2009-01-03;1;82,375
2009-01-04;1;83,125
2009-01-05;1;76,75
2009-01-06;1;79,375
2009-01-07;1;76,375
2009-01-08;0;85,25
2009-01-09;0;90,125
2009-01-10;1;92,5
2009-01-11;1;83,125
2009-01-13;1;87,875
2009-01-14;1;79,75
2009-01-15;1;76,875
2009-01-16;1;68,5
2009-01-17;1;78,875
2009-01-18;1;82,625
2009-01-19;0;84,375
2009-01-21;0;90,875
2009-01-22;0;88,875
2009-01-23;0;91,25
2009-01-24;1;92,5
2009-01-25;0;94,75
2009-01-26;0;92,125
2009-01-27;1;89,125
2009-01-28;1;88,0
2009-01-29;1;85,25
2009-01-30;1;84,0
2009-01-31;1;82,375
2009-02-01;1;83,375
2009-02-02;1;85,625
2009-02-03;1;83,85714285714286
2009-02-04;1;78,25
2009-02-05;1;84,875
2009-02-06;0;88,875
2009-02-07;0;95,625
2009-02-08;0;96,0
2009-02-09;1;71,5
2009-02-10;1;82,875
2009-02-11;1;87,125
2009-02-12;1;86,75
2009-02-13;0;81,625
2009-02-14;1;85,875
2009-02-15;1;76,875
2009-02-16;1;73,875
2009-02-17;1;74,375
2009-02-18;1;76,0
2009-02-19;0;79,125
2009-02-20;1;78,875
2009-02-21;1;62,125
2009-02-22;1;72,875
2009-02-23;1;79,0
2009-02-24;1;84,5
2009-02-25;0;71,25
2009-02-26;0;91,625
2009-02-27;0;91,625
2009-02-28;0;78,75
2009-03-01;1;81,14285714285714
2009-03-02;1;79,75
2009-03-03;0;89,0
2009-03-04;1;89,875
2009-03-05;1;86,875
2009-03-06;1;84,125
2009-03-07;1;80,75
2009-03-08;1;86,375
2009-03-09;0;91,875
2009-03-10;0;92,5
2009-03-11;1;89,25
2009-03-12;1;88,66666666666667
2009-03-13;1;85,0
2009-03-14;1;79,125
2009-03-15;0;86,5
2009-03-16;1;86,5
2009-03-17;0;91,375
2009-03-18;1;75,75
2009-03-19;1;64,125
2009-03-20;1;64,375
2009-03-21;0;62,625
2009-03-22;1;58,5
2009-03-23;1;78,375
2009-03-24;0;74,375
2009-03-25;1;55,125
2009-03-26;1;57,875
2009-03-27;1;59,625
2009-03-28;0;89,75
2009-03-29;0;91,42857142857143
2009-03-30;1;89,875
2009-03-31;0;85,0
2009-04-01;1;70,5
2009-04-02;1;70,0
2009-04-03;1;66,375
2009-04-04;0;92,625
2009-04-05;0;91,25
2009-04-06;0;89,875
2009-04-07;0;90,125
2009-04-08;1;78,75
2009-04-09;1;63,625
2009-04-10;1;77,375
2009-04-11;1;85,375
2009-04-12;1;88,42857142857143
2009-04-13;1;88,85714285714286
2009-04-14;1;89,0
2009-04-15;1;61,875
2009-04-16;1;52,875
2009-04-17;1;64,625
2009-04-18;1;53,625
2009-04-19;1;49,5
2009-04-20;1;42,375
2009-04-21;1;40,5
2009-04-22;1;49,625
2009-04-23;1;54,0
2009-04-24;1;55,0
2009-04-25;1;69,75
2009-04-26;1;62,875
2009-04-27;1;57,875
2009-04-28;1;60,25
2009-04-29;1;67,125
2009-04-30;1;53,875
2009-05-01;1;49,375
2009-05-02;1;41,875
2009-05-03;1;57,75
2009-05-04;1;70,25
2009-05-05;1;78,125
2009-05-06;0;87,375
2009-05-07;1;70,875
2009-05-08;0;68,75
2009-05-09;0;78,5
2009-05-10;1;78,5
2009-05-11;0;85,75
2009-05-12;1;58,25
2009-05-13;1;54,75
2009-05-14;1;52,25
2009-05-15;1;40,0
2009-05-16;1;53,375
2009-05-17;1;48,875
2009-05-18;1;55,875
2009-05-19;0;68,0
2009-05-20;1;83,375
2009-05-21;1;90,25
2009-05-22;0;83,875
2009-05-23;0;91,375
2009-05-24;1;62,0
2009-05-25;1;49,0
2009-05-26;1;66,625
2009-05-27;1;84,0
2009-05-28;1;76,625
2009-05-31;1;52,875
2009-06-01;1;55,25
2009-06-02;1;44,25
2009-06-03;0;65,375
2009-06-04;0;93,125
2009-06-05;0;89,0
2009-06-06;1;74,125
2009-06-07;1;64,375
2009-06-08;1;52,75
2009-06-09;1;80,25
2009-06-10;1;83,71428571428571
2009-06-11;1;86,375
2009-06-12;1;79,0
2009-06-13;0;84,0
2009-06-14;0;85,875
2009-06-15;0;89,375
2009-06-16;1;74,5
2009-06-17;1;60,375
2009-06-18;1;56,875
2009-06-19;0;87,75
2009-06-20;1;77,375
2009-06-21;1;71,0
2009-06-22;1;66,875
2009-06-23;1;57,875
2009-06-24;1;57,25
2009-06-25;1;55,125
2009-06-26;1;48,0
2009-06-27;1;73,125
2009-06-28;1;71,0
2009-06-29;1;76,875
2009-06-30;1;70,375
2009-07-01;1;67,375
2009-07-02;1;60,375
2009-07-03;1;51,375
2009-07-04;1;54,625
2009-07-05;0;69,0
2009-07-06;1;63,375
2009-07-07;0;77,25
2009-07-08;0;86,75
2009-07-09;0;85,375
2009-07-10;1;75,75
2009-07-11;1;76,375
2009-07-12;0;85,125
2009-07-13;0;88,125
2009-07-14;1;74,875
2009-07-15;1;80,25
2009-07-17;1;76,375
2009-07-18;1;68,5
2009-07-19;1;69,25
2009-07-20;0;91,25
2009-07-21;1;81,125
2009-07-22;0;84,625
2009-07-23;1;83,625
2009-07-24;0;87,71428571428571
2009-07-25;0;87,0
2009-07-26;1;86,5
2009-07-27;1;78,125
2009-07-28;1;85,125
2009-07-29;0;85,25
2009-07-30;1;76,125
2009-08-02;1;84,5
2009-08-03;0;85,125
2009-08-04;1;82,125
2009-08-05;1;79,875
2009-08-06;1;76,85714285714286
2009-08-07;0;77,0
2009-08-08;1;65,66666666666667
2009-08-09;1;70,625
2009-08-10;1;72,125
2009-08-11;1;74,875
2009-08-12;0;86,875
2009-08-13;1;76,0
2009-08-14;1;73,25
2009-08-15;1;66,66666666666667
2009-08-16;0;82,625
2009-08-17;0;78,25
2009-08-18;0;93,0
2009-08-19;1;69,0
2009-08-20;1;64,375
2009-08-21;1;72,125
2009-08-22;1;76,625
2009-08-23;1;77,625
2009-08-24;1;69,875
2009-08-25;1;79,125
2009-08-26;0;85,0
2009-08-27;0;92,0
2009-08-28;1;89,5
2009-08-29;1;83,375
2009-08-30;0;84,5
2009-08-31;0;76,75
2009-09-01;1;88,375
2009-09-02;1;76,625
2009-09-03;0;93,625
2009-09-04;0;86,5
2009-09-05;1;86,875
2009-09-06;0;95,0
2009-09-07;0;88,875
2009-09-08;0;89,375
2009-09-09;1;84,375
2009-09-10;1;75,375
2009-09-11;1;75,0
2009-09-12;0;84,0
2009-09-13;1;80,0
2009-09-14;1;78,625
2009-09-15;1;76,875
2009-09-16;0;87,33333333333333
2009-09-17;1;76,625
2009-09-18;1;79,125
2009-09-19;1;77,25
2009-09-20;1;83,125
2009-09-21;1;87,125
2009-09-22;1;83,75
2009-09-23;0;80,875
2009-09-24;1;77,375
2009-09-25;1;79,0
2009-09-26;1;89,71428571428571
2009-09-27;1;90,875
2009-09-28;0;83,28571428571429
2009-09-29;0;80,875
2009-09-30;1;82,0
2009-10-01;1;80,71428571428571
2009-10-02;1;81,28571428571429
